name score
brodrick 1.0
pammi 0.3333333333333333
mihiro 0.0
hastings 1.0
eugen 0.994535519125683
noach 1.0
chilla 1.0
muscoe 1.0
karadi 1.0
calibre 1.0
buzan 1.0
earlean 0.0
sisse 0.0
yesubai 1.0
kristel 0.0
segga 1.0
kristen 0.1978021978021978
soraia 0.0
lefred 1.0
shazli 1.0
matleena 0.0
krister 1.0
ofir 1.0
sissi 0.0
buzad 1.0
lanardo 1.0
yaneth 0.0
minyahile 1.0
hellmer 1.0
marquand 1.0
ramanna 1.0
tan-luan 1.0
sisko 0.5
bannanje 1.0
nemacolin 1.0
elmin 1.0
hasebe 1.0
elmir 1.0
nistor 1.0
marvis 0.5
remon 1.0
admon 1.0
silananda 1.0
cassam 1.0
jayasekara 1.0
mogol 1.0
leicester 1.0
kayumba 1.0
vytautas 1.0
sneaky 1.0
sorabh 1.0
pigeon 1.0
timea 0.0
yusak 1.0
milenita 0.0
adriana 0.007518796992481203
shibukawa 1.0
nazar 1.0
shahood 1.0
shomshuklla 0.0
adriane 0.0
yanagiman 1.0
soraca 0.0
nazan 0.0
pulickel 1.0
nazam 1.0
remmy 1.0
toireasa 0.0
hifazat 1.0
olayinka 0.5
baltis 1.0
zulya 0.0
augustinus 1.0
lakshminath 1.0
michinori 1.0
tsolak 1.0
segar 1.0
floriane 0.0
ekrima 1.0
segal 1.0
kinneret 0.0
footer 1.0
antton 1.0
alemseged 1.0
poseci 1.0
mbali 0.0
karnail 1.0
dingaan 1.0
odessa 0.3333333333333333
pampi 1.0
floriana 0.0
mbala 1.0
vappala 1.0
hypereides 1.0
custo 1.0
yuriorkis 1.0
flux 1.0
skagul 1.0
teinosuke 1.0
yusaf 1.0
iyorchia 1.0
karaja 0.0
khushwant 1.0
welton 1.0
avvakum 1.0
haseeb 1.0
kiyonao 1.0
kristal 0.0
frazer 1.0
kristan 0.4
witter 1.0
siddhartha 1.0
kristaq 1.0
jozko 1.0
appleton 1.0
tanroh 1.0
ruenna 0.0
rumbaudas 1.0
klausjurgen 1.0
frazey 0.0
terese 0.0
hyatt 0.75
gundolf 1.0
teresa 0.004901960784313725
latroy 1.0
sirvi 1.0
tuuttimorko 1.0
vitiges 1.0
shitaye 0.0
beautiful 1.0
japetus 1.0
bolitha 1.0
sachko 1.0
glesca 0.0
humiaki 1.0
abdoulay 1.0
naydi 0.0
huntington 1.0
kristof 1.0
somsak 1.0
baltus 1.0
whitmell 1.0
artystone 0.0
augustinas 1.0
kristor 1.0
tilok 1.0
tomihiko 1.0
agathiyan 1.0
herfried 1.0
dunga 1.0
þorunn 0.0
gautham 1.0
karaka 1.0
garchen 1.0
bickram 1.0
kaneshiro 1.0
sefko 1.0
roibeard 1.0
tallapragada 1.0
fynes 1.0
aedesia 0.0
ector 1.0
sachia 0.0
bertita 0.0
mihika 0.0
dunja 0.0
yeruham 1.0
sachie 0.0
athirson 1.0
adriano 1.0
eckehard 1.0
diereville 1.0
dovydas 1.0
sachin 1.0
yurko 1.0
sachio 1.0
đurđe 1.0
castelloza 0.0
sekhar 1.0
ilivasi 1.0
keydrick 1.0
đurđa 0.0
yuriy 1.0
slavenko 1.0
zulay 0.0
budgie 1.0
sesostrie 1.0
kosei 1.0
kelebone 1.0
glauk 1.0
dunia 0.0
nayer 0.5
kosem 0.0
marvin 0.9933774834437086
slavenka 0.0
ofra 0.0
bionca 0.0
rajasekhara 1.0
tereso 1.0
abebech 0.0
nayef 1.0
redmond 1.0
shahnon 1.0
marvic 1.0
nayib 1.0
melitina 0.0
vasuki 0.0
tsunenohana 1.0
sefer 1.0
nandasena 1.0
oladimeji 1.0
rajbali 1.0
bibhal 1.0
puviarasu 1.0
marvan 1.0
ardalion 1.0
jentah 0.0
hokutoumi 1.0
yuria 0.0
wakakoma 1.0
yurie 0.0
sirri 1.0
yurii 1.0
anttix 1.0
yurij 1.0
yurik 1.0
alafoti 1.0
yurin 0.0
snøfrid 0.0
anjelah 0.0
cassianus 1.0
terens 1.0
glass 0.6666666666666666
riyaz 1.0
sirry 0.0
obdulia 0.0
manius 1.0
obdulio 1.0
aznil 1.0
nonato 1.0
brigit 0.0
nanmadaw 0.0
riyas 1.0
karunakaran 1.0
terenc 1.0
olaudah 1.0
tilka 1.0
naukane 1.0
bekzod 1.0
brigid 0.0
assume 1.0
sebnem 0.0
riyad 1.0
tilli 0.5
memory 1.0
goreti 1.0
koshu 1.0
amafinius 1.0
wretha 0.0
authari 1.0
koshi 1.0
su'a 1.0
kramer 1.0
miluse 0.0
florestan 1.0
kosho 1.0
porcius 1.0
kosha 1.0
tilky 1.0
ildeniz 1.0
azniv 0.0
casticus 1.0
prasantha 1.0
brockhill 1.0
tilla 0.0
lomas 1.0
chessman 1.0
shechen 1.0
sachen 1.0
farmud 1.0
kristie 0.0
sachet 1.0
elnaz 0.5
kosit 1.0
guercino 1.0
kristin 0.014705882352941176
cristian 0.9959677419354839
cursive 1.0
hakimakli 1.0
wesllem 1.0
tilmo 1.0
tilly 0.125
sefik 1.0
taalam 1.0
gulielma 0.0
marvel 0.2
kosie 1.0
nilukshi 0.0
salaria 0.0
nayim 1.0
kekaumenos 1.0
kheeston 1.0
pellin 1.0
sefis 1.0
sirus 1.0
ramezan 1.0
mihiel 1.0
rebecca 0.009478672985781991
weslley 1.0
jakaya 1.0
dyddgu 0.0
jymn 1.0
princella 0.0
dashenko 1.0
raiphi 1.0
koralia 0.0
zorica 0.0
celidonius 1.0
bonifacius 1.0
zulma 0.0
wisimar 1.0
heberth 1.0
ausias 1.0
filomena 0.0
adnen 1.0
karate 1.0
wojtek 1.0
adney 1.0
davern 1.0
heberto 1.0
silindile 0.0
filomeno 1.0
robina 0.0
xenocles 1.0
admetus 1.0
nayla 0.0
bansharaj 1.0
wretch 1.0
margita 0.0
zully 0.0
margith 0.0
ababel 0.0
yarrow 1.0
jesaya 1.0
hanway 1.0
karasi 1.0
visitante 1.0
szibilla 0.0
owsei 1.0
urijah 1.0
cinthya 0.0
silvano 1.0
mercator 1.0
sukhwinder 1.0
jansher 1.0
bright 1.0
sosthenes 1.0
lomer 1.0
dunan 1.0
terell 1.0
sisay 1.0
tyeler 1.0
andrijana 0.0
robijn 1.0
candide 1.0
jeanie 0.0
sachal 1.0
urakusai 1.0
candida 0.0
bettie 0.0
akifumi 1.0
shakaiba 0.0
dyzma 1.0
shelbie 0.0
sachar 1.0
asnaketch 0.0
tomanija 0.0
briggs 1.0
hellmut 1.0
kosmo 1.0
eulpaso 1.0
candido 1.0
bettis 1.0
manish 1.0
latrez 1.0
gulkız 0.0
cutie 0.0
kovilan 1.0
seanach 1.0
cuthy 1.0
jonnavithhula 1.0
kosma 1.0
nubkhesbed 0.0
sisca 0.0
karnati 1.0
su-a 0.0
sutipong 1.0
ranjana 0.0
zulia 0.0
salawa 0.0
maruxa 0.0
manila 0.0
leeteuk 1.0
terefe 1.0
sanwell 1.0
melchior 1.0
ibzan 1.0
gennosuke 1.0
anttaj 1.0
ranjani 0.0
adnan 1.0
meduri 1.0
shaumonekusse 1.0
amarindra 0.0
eytan 1.0
roddrick 1.0
cairook 1.0
dontarrious 1.0
pambo 1.0
tilsa 0.0
wehhui 1.0
turlough 1.0
nurbakhshi 1.0
koson 1.0
silvana 0.0
giottino 1.0
higashi 1.0
negiat 1.0
nayon 1.0
supyan 1.0
taikichiro 1.0
candice 0.0
bojjala 1.0
hanabusa 1.0
manini 0.0
akshayraj 1.0
bikash 1.0
sabahudin 1.0
conrado 1.0
sanchaman 1.0
souichi 1.0
zulfu 1.0
zoriah 1.0
shazad 1.0
aznar 1.0
posesi 1.0
shikhar 1.0
shazam 1.0
aizawa 1.0
miliduch 1.0
archibald 1.0
shelbee 0.0
arkady 1.0
symacho 1.0
firmanzah 1.0
manoharsinhji 1.0
jotello 1.0
navalpreet 1.0
caesius 1.0
orgesa 0.0
cheltzie 0.0
arkadi 1.0
azhagam 1.0
jyri 1.0
azhagar 1.0
keerati 1.0
kaihau 0.0
rebecka 0.0
ikechukwu 1.0
giangiacomo 1.0
zulfi 1.0
kapahei 1.0
jyro 1.0
maruti 1.0
siren 0.5
mohnish 1.0
robiul 1.0
treva 0.5
bhupathiraju 1.0
clyda 0.0
mahreen 0.0
farokh 1.0
numisianus 1.0
gregori 1.0
arbind 1.0
lolis 1.0
clyde 0.9952380952380953
cloudesley 1.0
zheng 0.8024691358024691
ravindranath 1.0
korpi 0.0
diphridas 1.0
umran 0.5
smitty 1.0
senkamanisken 1.0
korra 1.0
shapurdukhtak 0.0
wakakoyu 1.0
antoaneta 0.0
umrao 0.6666666666666666
buyeo 1.0
ogbe 1.0
kurken 1.0
bahamadia 0.0
ogan 1.0
hindrek 1.0
crescenzo 1.0
fodbgen 1.0
average 1.0
beasley 1.0
volney 1.0
tayyibe 0.0
georginna 0.0
palay 1.0
manija 0.0
iaroslav 1.0
cointha 0.0
elijah 1.0
journal 0.0
jaisingrao 1.0
palas 1.0
boelie 1.0
ogdo 0.0
rangitaamo 0.0
delray 1.0
yasutaro 1.0
palak 0.0
carlijn 0.0
shahurain 1.0
chikau 1.0
sidarta 1.0
searles 1.0
squizzy 1.0
woldeab 1.0
lucius 0.9873949579831933
garcelle 0.0
chikao 1.0
manika 0.0
sidarto 1.0
zakhary 1.0
siril 0.0
myechyslaw 1.0
fibriani 0.0
sirak 1.0
carlile 1.0
naseeruddin 1.0
schillonie 0.0
siraj 1.0
domiciano 1.0
farogh 1.0
baal 1.0
seeta 0.0
sirah 0.0
emiliyan 1.0
charicles 1.0
voytek 1.0
amirhossein 1.0
siran 0.6666666666666666
baba 0.9615384615384616
yugendran 1.0
tasmina 0.0
rockwell 1.0
baay 1.0
baas 1.0
stankdawg 1.0
ceionia 0.0
maurisson 1.0
audouin 1.0
cammile 0.0
gobrain 1.0
tresa 0.0
ponneelan 1.0
keariene 0.0
dandeny 1.0
buyan 1.0
prilidiano 1.0
betsan 0.0
suhasi 0.0
jenuse 1.0
lolly 0.3333333333333333
oger 1.0
shobna 0.0
lollu 1.0
sabapathypillai 1.0
klashnekoff 1.0
hindraj 1.0
lucita 0.0
kamron 1.0
pasteur 1.0
borris 1.0
vihtori 1.0
methkal 1.0
ogie 1.0
carline 0.0
vigilante 1.0
kaymakam 1.0
carling 1.0
elijeu 1.0
avromie 1.0
xabi 1.0
back 0.8571428571428571
georginio 1.0
bach 1.0
ravenscroft 1.0
treadway 1.0
zsuzsi 0.0
xaba 1.0
sathwik 1.0
bada 0.75
saichiro 1.0
maigonis 1.0
sankarshan 1.0
zsuzsa 0.0
korvi 1.0
ahyee 1.0
montowampate 1.0
tress 0.6666666666666666
metodije 1.0
ammonas 1.0
ceferino 1.0
maruse 1.0
krassimir 1.0
babi 0.5
andragius 1.0
marusa 0.0
qerim 1.0
babe 0.9230769230769231
raghaveshwara 1.0
robion 1.0
baca 1.0
baby 0.6041666666666666
babz 0.0
babu 1.0
babs 0.6666666666666666
oggy 1.0
gladys 0.023809523809523808
suzanna 0.0
amalananda 1.0
suzanne 0.011904761904761904
brigilsus 1.0
annarita 0.0
sirið 0.0
pallo 1.0
nohelia 0.0
chikka 1.0
palla 1.0
dulla 1.0
sirna 1.0
heraklonas 1.0
baek 0.6785714285714286
selvarajah 1.0
palle 1.0
herizo 1.0
maruli 1.0
chloe 0.0
darleen 0.0
yurei 1.0
dahrran 1.0
yurek 1.0
baey 1.0
curth 1.0
m-flo 1.0
palwasha 0.0
badr 1.0
gisken 0.0
bado 1.0
toshinobu 1.0
krissel 0.0
maraimalai 1.0
badi 0.6666666666666666
szabolcs 1.0
bacchelli 1.0
chikku 1.0
philotas 1.0
pynchas 1.0
curry 1.0
bade 1.0
palmi 1.0
zechariah 1.0
maniam 1.0
spomenko 1.0
koryu 1.0
tomihisa 1.0
selvarajan 1.0
lucjan 1.0
palma 1.0
jirina 0.0
curse 1.0
filmer 1.0
pen-ek 1.0
zecharias 1.0
bady 0.5
maniac 1.0
joyce 0.03125
pallu 1.0
siron 1.0
katreeya 0.0
marumi 0.0
danzell 1.0
spomenka 0.0
ellie 0.05
ellin 0.0
sirpa 0.0
zoubeir 1.0
fortesque 1.0
ellis 0.9302325581395349
fuerza 1.0
bagh 1.0
roopak 1.0
roopal 0.0
elijio 1.0
sirpi 1.0
baha 1.0
dulcinea 0.0
yasodhara 0.0
hayakawa 1.0
willielma 0.0
yadinis 0.0
makhammetgeldi 1.0
yasutaka 1.0
sirpy 1.0
ogle 1.0
dzhashar 1.0
dully 1.0
yandri 1.0
kamrul 1.0
kamrun 0.0
baga 1.0
manick 1.0
orgi-e 1.0
yasutake 1.0
yandro 1.0
delron 1.0
sirio 1.0
bair 1.0
xiaoliang 1.0
evellius 1.0
sirin 0.0
kirigakure 1.0
bain 1.0
galena 0.0
newland 1.0
baim 1.0
baij 1.0
lachele 0.0
tilbe 0.0
sakvithi 1.0
baik 1.0
relly 1.0
baji 1.0
sirje 0.0
akuila 1.0
tilak 1.0
delroy 1.0
kariamanickam 1.0
baja 1.0
protiva 0.0
astraður 1.0
chalermchai 1.0
moeletsi 1.0
moschus 1.0
chityala 0.0
odetta 0.0
dipesh 1.0
odette 0.0
vaballathus 1.0
hasdai 1.0
shahrizal 1.0
boyapati 1.0
shahrizam 1.0
palpu 1.0
borrah 1.0
micheletto 1.0
dartanyon 1.0
ellic 1.0
thalatha 0.0
barnolt 1.0
senteza 1.0
tessema 1.0
kshanika 0.0
shahrizat 0.0
ellia 0.0
tilda 0.0
percelle 1.0
thirumalai 1.0
maruja 0.0
ellef 1.0
baku 1.0
bakr 1.0
chitralaya 1.0
ennodius 1.0
palne 0.0
nasiruddin 1.0
ellei 0.0
brettina 0.0
ellen 0.0
tilde 0.0
bako 1.0
sennacherib 1.0
ctesiphon 1.0
gorell 1.0
elles 0.0
bali 0.75
husref 1.0
ceephax 1.0
gotthold 1.0
ellet 1.0
curro 1.0
fridolf 1.0
bala 0.8636363636363636
dulip 1.0
elley 1.0
palmy 0.0
sirli 0.0
jaddanbai 0.0
gracinha 0.0
kosal 1.0
gregory 0.9959514170040485
baju 1.0
yunaika 0.0
chinmayi 0.0
triaria 0.0
relja 1.0
chikez 1.0
hironari 1.0
vilvanathan 1.0
bajo 1.0
chiken 1.0
vrtanes 1.0
chinmaya 1.0
hogong 1.0
shushandukht 0.0
nayan 1.0
kosai 1.0
harukazu 1.0
sirly 0.0
suhayl 1.0
kamryn 0.0
nayah 0.0
crescente 1.0
baki 1.0
bake 1.0
maruki 1.0
baka 0.5
milovan 1.0
kimbembe 1.0
albemarle 1.0
buyuk 1.0
hajiya 0.0
greyston 1.0
nedzmedin 1.0
dao-xuan 1.0
garfield 1.0
elmer 0.9957446808510638
bank 1.0
bani 0.75
bang 0.6923076923076923
elmes 1.0
bane 1.0
frenchy 1.0
bana 1.0
rapeepan 1.0
dealtry 1.0
erskine 1.0
10 1.0
12 1.0
ryunosuke 1.0
dukagjin 1.0
koran 1.0
hasnain 1.0
honorio 1.0
balu 1.0
halszka 0.0
sardanapalus 1.0
zebbler 1.0
chhajja 1.0
kadijatu 0.0
gogumal 1.0
vengayil 1.0
coventry 1.0
zalina 0.0
bamm 1.0
blasco 1.0
allieu 1.0
muammar 1.0
georgeann 0.0
nagappan 1.0
honoria 0.0
korab 1.0
rooplo 1.0
bama 0.6666666666666666
alliet 0.0
moenu 1.0
periclytus 1.0
antumi 1.0
susenyos 1.0
musaemura 1.0
alyona 0.0
ogun 1.0
bartholomæus 1.0
alderman 1.0
oguz 1.0
tigidius 1.0
shammuramat 0.0
aronda 1.0
oseki 1.0
durell 1.0
memnun 1.0
redouane 1.0
stumpy 1.0
lieven 1.0
bapi 1.0
fitzherbert 1.0
chanakya 1.0
tansey 0.0
herita 1.0
koray 1.0
warbler 1.0
mountainhood 1.0
stav 0.8
stat 1.0
twinkle 0.0
stephin 1.0
star 0.38461538461538464
stas 1.0
suhaee 0.0
tansen 1.0
banu 0.16666666666666666
tsutsumi 1.0
meitatsu 1.0
filmon 1.0
bant 1.0
staz 1.0
gordon 0.9980059820538385
bano 0.5
stay 1.0
staf 1.0
vallathol 1.0
lucien 1.0
kaustubh 1.0
stan 1.0
stal 1.0
40 1.0
sisebert 1.0
harukawa 1.0
bara 0.5
barb 0.0
treat 1.0
ogwu 1.0
darleys 1.0
lucida 0.0
carpentras 1.0
balthild 0.0
lucido 1.0
gonchigjalzangiin 1.0
elman 1.0
havaldar 1.0
baro 1.0
ajiboyede 1.0
amgad 1.0
elmar 1.0
farnum 1.0
dumar 1.0
dumas 1.0
bark 1.0
imperio 0.0
bari 0.7777777777777778
owsley 1.0
imperia 0.0
seedo 1.0
50 1.0
rukmini 0.0
elmaz 0.5
sostenes 1.0
krissie 0.0
bard 1.0
woodbury 1.0
baqa 1.0
atilano 1.0
shahraban 0.0
virasb 1.0
bapu 1.0
hidipo 1.0
seedy 1.0
korel 0.5
herius 1.0
koren 0.5
thakazhi 1.0
camadevi 0.0
aparajit 1.0
moero 0.0
laleshwar 1.0
vasthy 0.0
koree 1.0
ferekalsi 1.0
baqi 1.0
estrellita 0.0
60 1.0
penelope, 0.0
muammer 1.0
kharshedji 1.0
ogyu 1.0
chagdud 1.0
abacuk 1.0
bata 1.0
emicho 1.0
vasbert 1.0
emmott 1.0
hunegnaw 1.0
leudesius 1.0
nafissa 0.0
sagusa 1.0
umayalpuram 1.0
basu 1.0
smitha 0.0
lievin 1.0
batt 1.0
shazza 0.0
bato 1.0
bonfoh 1.0
glynnis 0.0
admir 1.0
magdolna 0.0
pamela 0.0
stephon 1.0
honnappa 1.0
korey 0.9166666666666666
madalin 1.0
kosrat 1.0
bate 1.0
amittai 1.0
sathyabhama 1.0
stev 1.0
stew 1.0
stet 1.0
minfong 0.0
hisakichi 1.0
cordaro 1.0
bary 1.0
azmin 1.0
baru 1.0
djedefre 1.0
teunkie 1.0
bars 1.0
bart 0.9927536231884058
sorana 0.0
bass 1.0
miltos 1.0
bahgat 1.0
stef 0.7142857142857143
steg 1.0
prabodhankar 1.0
baso 1.0
lucian 1.0
sted 1.0
velimir 1.0
icarius 1.0
gurgintius 1.0
hotula 1.0
tikka 1.0
makhenkesi 1.0
harminder 1.0
milton 1.0
aynsley 1.0
step 0.0
sten 1.0
alcmenes 1.0
stel 1.0
irattaipulavar 1.0
karmella 0.0
canserbero 1.0
trena 0.0
suhani 0.0
stig 1.0
glafcos 1.0
khasekhemwy 1.0
gonzaguinha 1.0
suhana 0.0
azman 1.0
toshinori 1.0
edelmira 0.0
lolah 0.0
vitantonio 1.0
edelmiro 1.0
chinweizu 1.0
teairra 0.0
95 0.0
maelcairearda 1.0
memnos 1.0
98 1.0
krakus 1.0
gordun 1.0
zalifa 0.0
runhild 0.0
batu 1.0
galvano 1.0
kashibai 0.0
korie 0.25
nathamuni 1.0
deepshikha 0.0
trent 0.9827586206896551
betsey 0.0
shobal 1.0
chang-rae 1.0
josesito 1.0
runish 1.0
urianus 1.0
gulabrao 1.0
escott 1.0
virada 0.0
haylynn 0.0
lucina 0.0
sakarias 1.0
lucine 0.0
futabayama 1.0
ilisavani 1.0
siatum 1.0
finshneachta 1.0
virendranath 1.0
massasoit 1.0
heyward 1.0
soraya 0.0
treon 1.0
woodville 1.0
naeemul 1.0
xavi 1.0
korky 1.0
stix 1.0
bawa 1.0
stephan 1.0
chijindu 1.0
xava 0.0
orodaltis 0.0
abhayadev 1.0
stik 1.0
stiv 1.0
gulabrai 1.0
bawk 0.0
bawi 1.0
en-men-lu-ana 1.0
twinkie 0.0
lucile 0.0
baze 1.0
gaylen 0.75
carlito 1.0
rizavdi 1.0
ohad 1.0
seele 1.0
mogens 1.0
krisspy 1.0
seela 0.0
lucila 0.0
sabuktigin 1.0
pala. 1.0
bazy 0.0
loles 0.0
montinee 0.0
earlene 0.0
korli 1.0
nnachi 1.0
tikoy 1.0
bazu 1.0
viharamahadevi 0.0
korla 1.0
bellaetrix 0.0
seema 0.0
baye 1.0
mondine 1.0
opicino 1.0
baya 0.5
eruini 1.0
sheheryar 1.0
veniamin 1.0
mazarine 0.0
mithlesh 1.0
bayu 1.0
cristhia 0.0
ellyn 0.0
bayn 0.0
bayo 1.0
frederiek 1.0
awonder 1.0
oengus 1.0
seena 0.0
macaris 1.0
adrion 1.0
macario 1.0
elluz 0.0
shobha 0.0
terzilio 1.0
lucija 0.0
antuan 1.0
lucijs 1.0
jayalath 1.0
gebran 1.0
nikkole 0.0
seenu 1.0
johnthan 1.0
suhail 1.0
aijalon 1.0
rosellen 0.0
alphonsus 1.0
roseller 1.0
martyl 0.0
stephen 0.9988142292490119
martyn 1.0
thekchok 1.0
adrino 1.0
frederica 0.0
markwin 1.0
suhaib 1.0
darlene 0.0
gandalf 1.0
shathira 0.0
frederick 0.9989610389610389
ohan 1.0
frederico 1.0
chartwell 1.0
jansila 0.0
frederich 1.0
gantimur 1.0
trell 1.0
volmar 1.0
jeromey 1.0
tioda 1.0
xiahou 1.0
vitaliano 1.0
matteus 1.0
hamadoun 1.0
amiya 0.9230769230769231
dontrell 1.0
tyronn 1.0
ikuyo 0.0
rosyam 1.0
khamlek 1.0
visvanatha 1.0
martrez 1.0
ikuya 1.0
hermin 0.5
svitrigaila 1.0
loong 0.0
hakeemullah 1.0
hermie 1.0
colita 0.0
balraj 1.0
striger 1.0
gwladys 0.0
stor 1.0
balram 1.0
madalsa 0.0
stoo 1.0
lieuwe 1.0
sigismund, 1.0
osiel 1.0
stow 1.0
buddug 0.0
cocteau 1.0
praniti 0.0
nashville 1.0
martti 1.0
peaches 0.25
marealle 1.0
hollingworth 1.0
martta 0.0
hananoumi 1.0
fuchu 1.0
mukarram 1.0
gcina 0.5
seibo 1.0
latoya 0.0
sagram 1.0
panourgias 1.0
jenrry 1.0
martun 1.0
owuor 1.0
yevgen 1.0
sadarang 1.0
tyrone 1.0
winship 1.0
martua 1.0
bakthan 1.0
niroshan 1.0
thottakkattu 0.0
vidyut 1.0
kouyu 0.0
yangpa 0.0
genelia 0.0
percival 1.0
gulten 0.0
moihi 1.0
sigismundo 1.0
dairoku 1.0
zunun 1.0
genelle 0.0
amity 0.0
sukumaran 1.0
viraat 1.0
claudelle 0.0
sisely 0.0
chuchupak 1.0
chijioke 1.0
stub 1.0
abtalion 1.0
ditaola 1.0
seorak 0.0
raimon 1.0
shmarya 1.0
bernhardt 1.0
quentin 0.9789473684210527
cutzinas 1.0
miltao 1.0
durnyam 0.0
socalled 1.0
1tym 1.0
naomheid 1.0
ikuto 1.0
dioxippus 1.0
loose 1.0
marton 1.0
flint 1.0
cesidio 1.0
chakrabongse 1.0
jewlia 0.0
khosrovidukht 0.0
paoli 0.0
prokofi 1.0
loutrel 1.0
obitius 1.0
mellonius 1.0
branibor 1.0
paola 0.01282051282051282
aradhna 0.0
avalon 0.0
moina 0.0
parashkev 1.0
visvaldis 1.0
matsumae 1.0
smaіl 1.0
dhiru 1.0
duilio 1.0
mosaddek 1.0
aulchand 1.0
goebel 1.0
duiliu 1.0
half-handed 1.0
gevheri 0.0
ikuro 1.0
hermon 1.0
madalyn 0.0
loots 1.0
sharmell 0.0
hermod 1.0
berkeley 1.0
prokofy 1.0
looty 1.0
paolo 1.0
owusu 1.0
mihrengiz 0.0
skinner 1.0
nochi 1.0
trieu 1.0
seokhyo 1.0
chezidek 1.0
lennard 1.0
vijaypal 1.0
ilaiyaraaja 1.0
racci 1.0
dapunta 1.0
yuuka 0.0
kintzing 1.0
umanji 1.0
sasmita 0.0
elora 0.0
fridtjof 1.0
hermas 1.0
yuuki 0.75
premgi 1.0
herman 0.9980694980694981
herenaus 1.0
genervie 0.0
kitasato 1.0
vijaypat 1.0
troccoli 1.0
kovai 0.6666666666666666
belawadi 0.0
seventy 1.0
amira 0.0
